No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間
1,一般撮影室１,459,460,20,1,天井懸垂器の揺れ,天井のX線管球懸垂器がレールから外れかけ、大きく揺れている。,直下から退避,患者はいなかったため、自身の安全を確保した。,1,支えるため応急処置として椅子を持ってくる,その過程で重量（数百kg）に耐えきれず下敷き。【死亡】,60,ストレッチャーを入れる,ストレッチャーと機器の落下により腕を切断。,60,保留,対応を後回しにし、状況を見る。,1
1,一般撮影室１,459,460,20,2,暗闇での足元確認,非常灯が点灯していない。床にグリッドが散乱している。,スマホライト点灯,ガラス片や機材を踏まずに移動できた。,2,急いで部屋を出る,グリッドに転倒して膝を強打。すぐには動けなくなる。,5,壁伝いに歩く,落下しかけていた天井が頭上から直撃。,10,保留,対応を後回しにし、状況を見る。,1
1,一般撮影室１,459,460,20,3,隣室からの異音,壁の向こうから「バチバチ」とショートする音が聞こえる。,ブレーカー断,放射線科エリア全体の火災を未然に防いだ。,5,見に行く,漏電箇所に触れ感電。【重傷】,60,消防に通報,回線混雑で繋がらず、初期消火の機会を逃す。,10,保留,対応を後回しにし、状況を見る。,1
2,一般撮影室２,556,458,20,1,患者のパニック,撮影中の患者が怖い叫んでいる。,頭を守ってもらい誘導,落下物を避け、患者と共に安全地帯へ。,3,「落ち着いて」と叫ぶ,声が届かず、患者がストレッチャーから落ちた。負傷。,5,一人で逃げる,患者が見捨てられ、後に懲戒へ。,1,保留,対応を後回しにし、状況を見る。,1
2,一般撮影室２,556,458,20,2,FPDの保全,高価なFPDが床に落ちている。,壁際に寄せる,最小限の動作で破損リスクを下げた。,1,抱えて持ち歩く,重くて避難の妨げになり、結局落とす。,5,元の場所に戻す,余震で再度落下し、使用不能となる,1,保留,対応を後回しにし、状況を見る。,1
2,一般撮影室２,556,458,20,3,避難ルートの選択,廊下は散乱物が多い。ルート選定が必要,通路経由で避難,比較的物が少なく安全に脱出できた。,2,廊下へ直行,天井パネルが崩落していたことを確認するもがれきに当たる,7,反対側の撮影室を選択,安全か確認しながら移動,2,保留,対応を後回しにし、状況を見る。,1
3,一般撮影室２,556,458,20,4,高電圧ケーブル垂下,発生器から太いケーブルが外れ、ぶら下がっている。,触らず大きく迂回,感電リスクを回避し退室。,2,棒でのける,絶縁体でなかったため感電。【死亡】,60,避けて通る,余震でケーブルが暴れ頭部直撃。,60,保留,対応を後回しにし、状況を見る。,1
3,一般撮影室２,556,458,20,5,ドア枠の歪み,揺れで引き戸の枠が歪み、扉が開かない。,蹴破る/破壊,緊急避難として正解。脱出成功。,5,う回路を探す,冷静に迂回する,3,使用禁止にして迂回する,後続の安全確保も踏まえて行動,5,保留,対応を後回しにし、状況を見る。,1
3,一般撮影室２,556,458,20,6,余震発生,避難直前、緊急地震速報が鳴り響く。,部屋中央でしゃがむ,落下物を回避し身を守った。,1,出口へ走る,揺れで転倒し強打。,5,机の下に隠れる,机自体が倒壊し挟まれるリスクあるも事なきを得た,1,保留,対応を後回しにし、状況を見る。,1
4,透視室１,247,543,10,1,アームから配線が垂れている,配線がむき出しとなり一部垂れ下がっている,機器電源OFF・退避　ブレーカーOff,感電リスクを回避し、安全圏へ。,2,使用禁止、進入禁止にする,とりあえず使用禁止とする,2,においをかぐ,わからないまま、時間が過ぎる,3,保留,対応を後回しにし、状況を見る。,1
